Facility RPA,Site Name,Facility WPA,Waste Code,Fate,Tonnes Received,R and D code,Compliance Status
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),2.7775,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.065,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.006,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),1.204,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.751,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.03,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0067,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),18.6875,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),0.0075,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.0835,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.012,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0108,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),3.653,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),0.009,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.5455,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.032,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0194,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),10.423,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),0.055,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),1.0715,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0087,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 08*,Transfer (D),0.027,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),2.3625,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),0.0015,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.068,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.034,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0123,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),3.097,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),0.0275,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.032,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.0435,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 08*,Transfer (D),0.001,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),0.5095,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),1.7185,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0005,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),0.7185,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),0.0015,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.0105,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.001,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.006,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),1.019,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),0.003,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.0105,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.008,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.005,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),3.1475,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.6945,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.017,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0005,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),1.7495,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),0.0015,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.878,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.013,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),0.2295,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),3.7955,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.081,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.0065,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.138,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.0205,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0086,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),0.9945,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),4.069,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.008,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.045,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),1.063,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.0105,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.235,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.05,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0111,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),0.415,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.051,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.003,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),0.004,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.575,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.002,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0065,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 08*,Transfer (D),0.012,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),7.139,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),0.009,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),4.089,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.018,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.006,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),3.6541,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),0.0195,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.3935,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0111,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),3.4425,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),0.065,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),2.363,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0245,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),2.9835,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),0.006,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),4.1875,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.008,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0321,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),13.115,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),0.0105,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),38.9465,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.0045,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0036,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 08*,Transfer (D),0.0075,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),2.071,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),0.581,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),7.451,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.012,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),0.3415,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),0.003,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.07,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0005,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),0.533,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.0085,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0017,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),4.004,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),0.003,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.378,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),2.6,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.015,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0217,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),0.341,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.008,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0295,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 08*,Transfer (D),0.003,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),3.732,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),0.005,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),13.733,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),0.27,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),0.0015,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.0085,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.045,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.001,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),1.0725,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),6.422,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.035,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),0.6625,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.032,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0115,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),0.989,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),0.003,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.7625,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0005,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),0.2435,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.572,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0067,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),0.7505,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.4055,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.003,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.001,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),1.31,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),0.0075,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.682,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.175,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.002,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.572,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0035,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),0.424,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.0315,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),0.0585,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),0.555,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 08*,Transfer (D),0.001,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),1.715,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.258,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.005,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.014,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 08*,Transfer (D),0.001,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),1.523,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),0.0045,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.376,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.0015,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),0.1375,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0017,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),1.9265,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),1.6065,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.033,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0052,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 08*,Transfer (D),0.0205,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),5.8105,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),0.0015,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),4.834,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),0.3365,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.24,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),0.2615,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.129,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0187,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 08*,Transfer (D),0.002,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),2.2675,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.0315,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0163,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),2.0555,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),0.0015,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.0855,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.028,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0749,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 08*,Transfer (D),0.008,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),19.403,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),0.0645,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),32.2105,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),0.8305,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),0.0015,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.035,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),0.055,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.098,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.002,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0005,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),0.461,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),0.0015,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.875,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0145,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),0.915,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),0.003,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),2.0825,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.026,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0414,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 08*,Transfer (D),0.004,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),18.306,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),0.031,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),1.3115,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.076,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0015,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 08*,Transfer (D),0.0035,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),1.469,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),1.955,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.095,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),0.009,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),4.173,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.364,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),0.2465,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.045,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.009,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.007,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),0.9675,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),0.006,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.0215,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0115,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),2.3935,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.319,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.024,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),2.27,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.71,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0064,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),1.0145,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),0.0015,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),0.0105,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.143,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0277,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 08*,Transfer (D),0.003,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),13.306,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),0.0405,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),2.0245,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.055,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),0.05,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),1.52,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.041,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0032,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 08*,Transfer (D),0.003,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),2.8925,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),0.013,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),1.4655,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.028,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0015,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),3.7105,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),0.0015,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),1.512,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.0355,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0086,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 08*,Transfer (D),0.001,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),3.405,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),0.0015,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 04,Transfer (D),4.7115,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 01,Transfer (D),0.042,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 10*,Transfer (D),0.0595,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 08*,Transfer (D),0.0525,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 03*,Transfer (D),31.154,D15,COMPLIANT
South West,Professional Hygiene Ltd,Bristol City,18 01 09,Transfer (D),5.0392,D15,COMPLIANT
